,Coretype
1672,2
3241,2
4823,1
874,1
814,1
3489,2
3371,2
166,1
1537,1
3180,2
4922,1
2092,1
4735,1
3173,2
4263,1
931,1
2969,2
2222,1
2508,3
2565,1
2704,2
3095,2
3712,1
922,2
3165,3
273,1
4505,2
2618,1
2290,1
2866,2
5027,1
1841,1
910,2
4877,1
4751,1
1980,1
3874,1
4335,2
4800,1
2754,2
2796,2
769,2
5014,1
4389,1
61,1
2009,1
2732,2
2443,1
3871,1
5098,1
2770,2
3259,1
1654,1
1050,2
4819,1
4185,1
3916,2
63,1
1168,1
3770,1
2483,3
4688,1
3285,1
52,2
751,1
3759,1
1855,2
3510,1
661,2
241,1
4158,1
3726,1
2004,1
1328,1
3303,1
582,1
713,2
1941,1
2712,2
3566,1
1901,1
4348,2
217,2
4080,1
2040,1
1921,1
686,2
4219,2
3484,3
506,1
1377,1
248,2
875,1
2557,1
1889,2
781,2
3265,3
2360,2
394,1
3360,2
619,1
1768,1
2257,1
3787,1
295,1
4674,2
5079,1
4758,1
1740,1
4138,1
2734,2
4528,1
4343,1
1522,1
3340,1
3175,2
387,1
992,1
845,3
3868,1
2764,3
2199,2
2127,1
2202,2
1965,1
3574,2
4102,1
1923,1
4750,2
2870,2
1891,2
247,1
2692,1
376,2
3429,2
2238,1
2265,1
3038,2
3617,1
2934,2
542,1
4009,2
5045,1
1667,1
3773,2
337,1
224,1
3555,2
2846,2
304,1
4287,3
1829,1
4330,1
4999,1
756,1
1042,1
2023,2
2998,1
3745,2
3403,2
4313,1
3423,2
1512,2
2372,2
2358,2
1517,2
4948,1
1299,1
1975,1
4296,1
1308,1
341,2
1164,1
2025,1
2186,1
3091,2
3775,1
4124,1
4197,2
2447,1
850,1
1399,1
4438,1
35,2
5032,2
448,1
2771,2
3208,1
2885,2
2952,2
5018,3
2176,2
3980,2
1494,1
4276,3
3454,2
3506,1
1757,2
1075,1
1201,3
1894,1
824,1
4476,2
27,2
352,1
2671,2
3277,1
2016,1
3997,1
2809,2
3008,2
2136,2
1132,2
2883,1
3305,1
765,1
841,1
3992,1
2811,2
3242,2
1943,1
816,1
4251,2
5026,1
2966,2
675,3
3926,2
202,1
3174,2
2685,1
926,1
4140,1
5095,1
1204,1
4649,1
346,2
2750,2
808,1
4960,1
3635,2
3741,1
4894,1
2308,2
584,1
2190,1
2918,2
3107,2
937,1
3143,1
2983,2
3121,1
1568,1
1334,2
1726,1
2687,3
3222,2
433,1
761,1
1498,1
5062,2
2071,1
4123,1
3925,1
3914,2
662,2
4180,1
676,2
2149,2
4809,1
307,1
974,1
2991,2
3348,2
3672,1
1049,1
4148,1
403,2
43,2
1602,1
899,1
2050,1
3159,1
4927,2
2063,1
3713,1
4274,1
1839,1
3214,2
2867,1
3869,2
3479,2
3994,2
622,2
2283,1
2499,3
1748,1
392,2
167,2
1121,1
3651,2
1583,1
2632,1
2858,2
4830,1
4316,1
1508,1
3327,2
1802,1
2247,1
3886,2
3843,1
3326,2
2213,2
1629,1
2636,2
161,3
2109,1
4104,1
1232,2
139,1
4829,1
1718,2
3636,2
4768,2
4155,2
1838,1
1438,1
3654,1
3626,1
1518,1
2020,1
531,2
2510,3
2876,2
1419,2
1978,1
1178,1
2637,2
1173,1
1174,2
3797,3
3967,2
2956,1
725,3
690,2
4006,1
4549,1
4412,1
162,2
466,1
623,1
1572,1
3118,2
4699,2
612,1
3570,2
153,2
728,2
1408,1
2087,1
1309,1
2214,2
1780,1
4238,2
436,1
3912,2
117,1
2895,2
3571,1
2731,1
1171,2
1837,1
274,1
2940,1
250,1
853,1
3722,1
134,1
556,1
3329,1
1020,2
3142,1
4395,2
325,2
1099,2
2244,1
1247,2
1316,2
3774,1
314,2
443,1
4435,2
2656,1
2292,2
4752,1
3421,2
3496,1
2599,2
5011,1
2721,1
3589,2
4427,2
4054,2
2069,1
3758,1
4884,1
2241,1
2312,1
1842,1
4810,2
735,1
2125,2
4986,1
4405,1
2559,1
3738,2
2075,1
3220,1
4993,3
3262,2
209,1
2645,2
3690,3
1331,1
1660,1
2044,1
2339,1
3362,1
2060,2
2258,1
350,1
1060,2
2460,1
4354,2
1771,2
766,1
253,1
177,2
3013,1
320,2
558,1
1195,1
275,1
4127,1
490,1
1254,2
1715,1
2479,3
157,2
28,2
3747,2
1932,1
4882,1
1380,1
3739,1
4533,1
3211,2
3442,2
3625,2
2913,1
4917,1
1188,1
2920,2
2781,1
4067,2
835,1
1467,1
3306,1
4908,2
1697,1
437,1
2114,1
4821,2
3092,2
1621,1
4536,1
3825,1
757,1
369,1
1928,1
2448,1
4338,1
1814,1
4056,2
397,2
4192,1
1918,1
2549,1
971,2
1826,1
2769,2
4978,1
322,2
1194,1
195,2
812,1
476,1
2942,1
1731,1
2108,1
1675,1
2497,3
290,1
3172,1
1625,1
2057,1
169,2
3969,1
2724,2
4332,2
5019,3
3017,3
3209,2
4049,2
3620,2
1313,1
289,1
2178,1
430,1
4053,1
3055,2
2336,2
4359,1
64,1
455,1
1422,1
1302,2
3130,2
828,1
4928,2
4711,2
1043,1
23,2
1549,1
3952,1
3169,1
3737,1
1590,2
2568,3
4554,2
3255,1
4587,1
6,2
2722,3
4323,2
2802,3
1103,3
3594,2
2220,1
4796,1
2435,1
2823,1
2576,2
3382,2
3982,1
5,2
670,2
4941,2
2480,3
834,3
3894,1
330,2
2877,2
1646,1
1030,2
881,1
1845,1
1950,1
2166,1
3000,2
4481,1
2434,1
4075,1
4207,1
87,1
2621,2
3842,2
14,2
1827,1
1548,1
2093,2
395,1
5039,3
699,2
454,1
4966,1
2193,2
2706,1
431,1
1526,1
2465,1
1525,1
4524,1
5089,2
4731,1
2997,2
994,1
630,2
2305,1
1772,1
3702,2
4619,2
1029,1
4574,3
840,3
2901,3
94,2
3481,1
355,1
641,1
2631,2
4985,1
846,1
5031,3
2695,2
4982,2
2118,1
1152,1
1384,1
3062,1
823,1
3391,1
1304,1
1275,1
2822,2
2673,3
1860,2
2528,2
3282,1
4011,2
775,1
860,1
5102,2
3081,1
3824,2
4851,2
3200,2
3097,1
211,1
4564,1
1947,1
481,1
4813,2
3811,1
1801,1
2382,2
4390,2
715,1
4487,1
1104,1
3840,1
2644,2
691,2
2679,2
930,1
2303,2
386,1
2899,2
1651,1
2144,2
3296,2
592,1
1061,2
1198,1
4000,1
3777,1
1850,1
3212,2
4081,1
1822,1
4863,1
2192,1
1527,1
3616,2
4491,1
1623,1
1116,1
3761,2
505,2
3048,2
3469,2
3014,2
4516,1
833,1
2696,2
4132,1
1294,1
746,2
1358,1
4082,2
2074,1
5066,3
1634,1
3051,1
1297,1
283,1
530,1
4477,2
3194,3
726,2
4707,2
3438,1
3021,2
2328,1
3689,1
2400,1
57,2
2058,1
4418,1
3706,2
4178,1
2377,1
3177,2
1023,1
4290,1
1916,1
2107,1
142,1
4773,1
3593,1
836,1
1887,1
2588,2
2728,1
2550,1
2123,1
1523,1
2425,1
3347,1
637,1
1072,2
764,1
602,1
1759,1
949,1
837,1
2252,1
4648,2
2634,2
3341,2
515,2
4834,1
1469,1
1575,1
3111,2
3060,2
3356,1
4145,2
1649,1
1402,1
3953,1
3710,2
4133,1
3585,2
4739,1
1497,1
4816,1
993,2
796,1
4106,1
316,2
3927,2
3813,1
889,1
1457,1
3313,1
1817,1
996,2
3420,2
4672,1
3887,1
4300,2
2013,1
3892,2
839,1
927,1
1212,2
1663,1
1348,1
2413,1
1821,1
803,1
1696,1
4381,2
3822,2
327,2
3962,1
4867,1
2987,2
3182,2
4538,2
3248,1
3971,1
4623,1
1999,1
517,1
1007,2
4605,2
938,2
198,2
3872,1
2327,2
1514,1
2103,1
2088,1
4493,2
3975,1
2124,1
2195,1
3769,1
4415,2
1856,1
2261,1
2169,1
3322,1
4582,1
1709,1
2506,3
1766,1
3900,2
5069,2
270,1
522,2
1650,1
4668,1
200,2
1620,1
4306,1
547,1
3601,1
3195,1
4942,1
3575,2
2076,2
3604,1
4740,1
4385,2
4231,2
4513,2
1310,1
2933,2
721,2
1035,2
4035,1
331,2
1395,1
336,2
2266,1
1450,1
24,2
3638,1
4172,1
3949,1
2345,1
3966,2
1823,1
3698,2
4284,1
4345,2
4994,1
5040,1
1271,1
4921,1
4320,3
3542,2
1094,1
2741,2
3154,2
409,1
1005,1
2196,1
3691,2
1086,3
2211,1
4770,2
4540,3
3928,1
1018,3
2522,1
1339,1
459,1
4939,1
2316,2
2100,1
3685,1
2700,1
1685,1
1581,1
3615,1
1483,1
1242,1
3446,1
2015,1
4003,1
3929,1
4849,1
3331,1
408,1
3501,1
3653,2
1693,1
917,1
1240,1
1449,1
1205,1
4597,1
4981,2
3162,1
620,1
2882,1
2260,1
3187,1
4382,2
3955,1
1917,1
2912,2
1180,2
2263,1
2133,1
4541,2
4076,1
4650,2
4584,2
3103,2
1246,3
1617,1
1032,2
1015,1
4408,1
4647,2
1533,2
473,1
423,1
704,2
614,1
2979,2
4534,1
2555,1
615,1
2973,2
4820,2
2002,1
4038,2
2066,2
3950,2
2579,1
3145,1
4221,2
1922,1
4272,2
4409,2
4211,2
2334,1
2844,1
2341,1
3400,2
10,3
465,1
450,1
4033,2
2457,1
2717,2
2215,1
2287,1
1596,1
463,1
4467,2
3151,1
3157,2
2872,1
1318,1
4573,1
4228,1
1949,1
1387,1
990,2
4843,1
806,1
2765,2
4865,1
606,1
1741,1
1585,1
598,1
3577,1
4356,2
4915,1
3042,2
1290,1
908,1
2582,1
1690,1
1871,2
3193,2
4953,1
357,1
263,1
2626,1
276,1
4519,2
2148,1
1133,1
243,1
1474,2
2259,1
684,2
411,1
2603,2
989,1
2472,1
4240,1
2484,3
143,1
3732,1
1954,1
181,2
3917,1
3463,1
3958,1
4930,2
1906,1
323,2
4184,2
4868,2
3849,2
4470,2
4267,2
2181,1
843,1
3355,2
918,2
1256,1
470,1
3881,2
1714,1
4437,2
2029,1
1008,1
2084,2
1323,1
1076,1
2471,2
3418,2
3351,2
4200,1
384,1
239,1
2445,1
2909,1
2167,1
3960,1
78,1
1888,3
4786,1
1292,1
3878,2
2538,1
844,3
1022,1
2102,2
4812,1
3508,1
1915,1
4399,2
4644,1
984,1
2048,1
2926,2
1161,3
2955,2
4749,1
1332,1
3862,1
4817,2
1846,3
3515,1
1723,1
538,2
3319,2
3451,2
901,3
3965,1
4755,2
2665,2
144,1
1571,1
576,1
4149,1
2105,1
1381,1
2493,3
3608,1
1563,1
192,2
568,2
4271,2
2264,1
2556,1
3578,1
5077,2
1435,1
3784,1
4494,2
297,1
1985,1
2313,1
1962,1
3789,1
545,2
4630,1
296,1
4171,1
1732,1
5029,1
933,1
1320,1
4790,2
727,2
1712,1
1243,2
4805,1
3404,2
2573,2
4315,2
4265,1
1480,1
1357,1
4325,2
4175,1
956,1
4855,1
4173,2
3637,1
2746,1
2745,1
3054,3
4326,2
2146,2
1101,1
62,1
1704,1
698,2
2884,2
553,2
500,1
2476,3
4143,1
4826,2
1167,2
1452,1
4729,1
1191,1
12,2
4023,3
1819,1
1914,1
1053,1
740,1
2684,3
1085,1
4166,1
2507,3
3785,2
2396,1
4857,1
2902,2
2670,3
7,2
2440,1
868,1
373,2
2835,2
2473,1
4785,1
1662,1
2026,1
1925,1
1606,1
1677,2
2622,1
3801,2
2204,1
1791,1
3805,1
681,2
3827,1
5105,1
429,1
2437,1
1270,1
1098,3
4667,2
1977,1
2518,2
1428,1
4188,2
2801,2
482,1
3249,3
3323,2
3435,1
2834,3
1459,1
1885,1
4305,1
3235,2
3709,1
2233,1
3590,2
4026,1
4893,1
3293,2
1803,1
2188,2
311,2
753,2
4426,2
2960,2
2053,1
2475,1
3671,2
1258,1
4518,1
1182,1
997,2
3082,1
2221,1
4116,2
827,1
4526,1
2595,2
3876,2
4236,2
3954,2
888,1
3406,2
4039,1
809,1
2643,1
627,1
1080,1
2317,1
80,1
49,2
3332,2
2892,1
4457,2
